@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
5851841517;node;43.1030511;13.5271129;25623;Simonetti Petroli;IS;Simonetti Mario S.R.L.;25623;Metano;1.399;0;08/08/2025 07:22:09;Yellow
5851841842;node;41.0600436;14.3688806;24458;IP;IP;Amato Santolo;24458;Metano;1.349;0;07/08/2025 06:29:42;Yellow
5851841868;node;37.5017705;15.0306445;24247;Lukoil;Lukoil;Alfonso di Benedetto Carburanti Lubrificanti srl;24247;Metano;1.999;0;07/08/2025 08:54:03;Red
5851842331;node;42.4233175;13.9298728;23216;Agip Eni;Eni;Eni;23216;Metano;1.399;0;07/08/2025 19:55:06;Yellow
5851842362;node;44.5777490;10.7439315;22970;Ego;;C.I.S. Nord S.R.L.;22970;Metano;1.3;0;04/08/2025 09:12:57;Green
5851842367;node;40.7598536;17.3115429;22942;Agip Eni;;Cardone Giuseppe;22942;Metano;1.499;0;08/08/2025 07:20:07;Orange
5851842507;node;40.8189419;16.4430866;24005;Agip Eni;;Stazione di Servizio Agip di Giannetta Giuseppe;24005;Metano;1.489;0;05/08/2025 12:33:12;Orange
5851842823;node;45.3556074;11.1766550;22318;Api-Ip;;Ghulam di Ghulam Sarwar & C. S.A.S.;22318;Metano;1.199;0;07/08/2025 13:03:05;Green
5851842867;node;43.9090162;12.3001975;21937;Api-Ip;;Cappelli Gas-auto S.N.C. di Cappelli Evaristo & C.;21937;Metano;1.299;1;04/08/2025 07:27:58;Green
5851842871;node;43.5398355;11.5537009;21883;Eni;Eni;Metanauto S.R.L.;21883;Metano;1.59;0;04/08/2025 11:49:04;Red
5851843111;node;40.8886089;14.3531549;20567;IP;IP;Delta Petroli S.A.S. di Felaco Antonio & C.;20567;Metano;1.398;0;04/08/2025 09:18:23;Yellow
5851843132;node;45.0920157;11.5086360;20338;Ies;;Zorzan Carburanti Srl;20338;Metano;1.399;0;07/08/2025 11:13:11;Yellow
5851843652;node;41.4482170;15.5757806;17735;Eni;Eni;Metanauto Foggia Sud S.A.S. di Bandello Rosaria & C.;17735;Metano;1.439;0;05/08/2025 08:39:49;Orange
5851843674;node;42.2676790;12.5515366;17499;Api-Ip;;Felgas Petroli S.R.L.;17499;Metano;1.495;0;05/08/2025 12:50:46;Orange
5851843928;node;40.7145474;14.5320433;16934;Total Erg;;Vin.G S.A.S. di Vicidomini Lucia;16934;Metano;1.699;0;06/08/2025 12:53:01;Red
5851843947;node;43.2208604;13.0823162;16797;Tamoil;;Stazione di Servizio di Urcia Alberto & C. S.N.C.;16797;Metano;1.299;0;06/08/2025 07:39:09;Green
5851844334;node;43.3458634;12.8600550;14664;Sacat;;S.A.C.A.T. - Società Autonoma Carburanti ed Affini Ternana S.R.L.;14664;Metano;1.299;0;04/08/2025 18:58:31;Green
5851844361;node;40.8930300;14.3880069;15789;Esso;Esso;Maga Gest. S.R.L.;15789;Metano;1.499;0;06/08/2025 08:36:08;Orange
5851844593;node;43.8347179;12.7481385;15498;Agip Eni;;Metanauto S.R.L.;15498;Metano;1.399;0;04/08/2025 07:23:11;Yellow
5851845294;node;43.1762727;13.0546355;59419;Api-Ip;;Cdc.L. Centro Distribuzione Carburanti-Lubrificanti di Marchetti & C. S.N.C.;59419;Metano;1.299;0;06/08/2025 16:34:36;Green
5851845300;node;41.7723555;12.2401214;13031;Eni;Eni;;13031;Metano;1.458;0;08/08/2025 07:02:31;Orange
5851845337;node;44.7641246;10.7562000;12577;Eni;Eni;Imp. 16435 Giavarini Ivan;12577;Metano;1.349;1;08/08/2025 00:08:07;Yellow
5851845497;node;45.8283997;12.5376577;12052;Energyca;;Cima Servizi S.R.L.;12052;Metano;1.459;0;05/08/2025 09:13:20;Orange
