@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
227769618;node;45.3066020;8.8743080;14096;Tamoil;Tamoil;Di Palma Carlo;14096;Benzina;1.689;1;30/07/2025 08:19:27;Green
227775732;node;45.2534824;9.0386753;38129;;Pit Stop;Castoldi Valerio;38129;Benzina;1.659;1;31/07/2025 13:55:36;Green
227781608;node;45.0827652;9.3184206;3763;IP;IP;Stradella S.R.L.;3763;Benzina;1.869;1;31/07/2025 11:01:35;Yellow
227788957;node;45.0491761;9.2326945;13083;Tamoil;Tamoil;Carburanti Olii Lubrificanti Bronese S.R.L.;13083;Benzina;1.699;1;01/08/2025 14:36:55;Green
227789818;node;45.0809490;9.2586850;7683;Esso;IP;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;7683;Benzina;1.769;1;02/08/2025 06:00:57;Yellow
227790183;node;45.1774743;9.2026772;24634;Q8;Q8;Ambrogio Moro S.P.A.;24634;Benzina;1.689;1;29/07/2025 12:05:16;Green
227794568;node;45.1925350;9.1812664;6457;Q8;Q8;Servizi & Gestioni Italia Srl;6457;Benzina;1.714;1;02/08/2025 01:07:14;Green
227795117;node;45.1863210;9.1711380;23767;Total;Total;Legacy di Borelli Tania e C. S.A.S.;23767;Benzina;1.729;1;02/08/2025 06:57:00;Green
227804398;node;45.0723910;9.2700300;41535;Eni;Eni;La Gaccia Gianfran;41535;Benzina;1.759;1;02/08/2025 07:28:07;Yellow
227805161;node;45.0440360;9.2582830;17214;Tamoil;Tamoil;P & J di Biani Piero e Pozzi Jennifer S.N.C. Denominazione Abbreviata P & J di Biani e Pozzi S.N.C.;17214;Benzina;1.879;0;17/07/2025 07:44:23;Orange
227836949;node;45.3319050;8.8368270;35940;Esso;Esso;Aresi di Sironi Fabio;35940;Benzina;1.729;1;02/08/2025 06:39:43;Green
227869927;node;44.9026336;9.0513367;20672;Total Erg;Erg;Gestioni Europa - Società Per Azioni;20672;Benzina;1.669;1;01/08/2025 09:05:00;Green
227887038;node;44.8573750;9.0832900;36028;;Indipend.;Vitras Sas di Angeleri Carlo & C.;36028;Benzina;1.689;1;02/08/2025 07:20:15;Green
227954565;node;45.1939540;8.9289880;12177;Esso;;Servizi e Gestioni Zenit S.R.L. in Sigla - Zenit S.R.L.;12177;Benzina;1.738;1;02/08/2025 06:00:57;Green
227954976;node;45.0969537;8.9074587;39183;Esso;Esso;Biscuola Thomas;39183;Benzina;1.689;1;31/07/2025 13:17:15;Green
227955196;node;45.0985327;8.9056858;13835;Total Erg;TotalErg;Mangiarotti Dario;13835;Benzina;1.709;1;31/07/2025 15:19:28;Green
