@id;@type;@lat;@lon;ref:mise;brand;name;operator;idImpianto;descCarburante;prezzo;isSelf;dtComu;color
5851845268;node;40.6289120;17.9372835;13288;Eni;Eni;Martucci Cosimo e Ribezzi Anna S.N.C.;;;;;;Blue
5851845272;node;44.9221517;10.2315362;13254;Total Erg;;Petronella Giuseppe;;;;;;Blue
5851845273;node;40.9452821;14.5307929;13250;EnerGas;EnerGas;Stazione Energas di Palumbo Bruno;;;;;;Blue
5851845275;node;39.8429326;16.1380818;13221;Q8;;D.I.P. di Donadio Ivo Mario e Donadio Paolo Pio S.N.C.;;;;;;Blue
5851845276;node;43.7214542;10.7991524;13218;Myoil;;Stazione Servizio Ip di Pepe Carmela e C. S.N.C.;;;;;;Blue
5851845278;node;44.9520239;12.3364924;13203;Api-Ip;;Fusetti Giorgio;;;;;;Blue
5851845279;node;37.2651639;13.9702957;13200;Agip Eni;Stazione di Servizio Agip Eni;F.lli La Marca S.A.S. di La Marca Girolamo e Calogero & C.;;;;;;Blue
5851845282;node;40.8764651;17.1574983;13176;Agip Eni;;Moro Sas di Romano N. & C.;;;;;;Blue
5851845283;node;42.3315729;13.2830465;45182;Api;Api;Aliucci Alessandro;;;;;;Blue
5851845287;node;45.5975347;9.7570327;13126;Agip Eni;;Farruku Shkelqim;;;;;;Blue
5851845290;node;40.8178804;15.2361007;13107;IP;IP;Pallante Lisetta;;;;;;Blue
5851845296;node;44.4324429;11.9006090;13065;Q8;Q8;Eredi di Babini Fernando S.N.C. di Babini Daniele e Farolfi Elsa;;;;;;Blue
5851845297;node;39.4936977;9.3901931;13045;Api-Ip;;Piras Francesco;;;;;;Blue
5851845298;node;41.4673575;12.6102343;13040;;Ewa;;;;;;;Blue
5851845301;node;41.8293841;12.4803054;12992;Smaf;;Perrone Mauro;;;;;;Blue
5851845304;node;45.8298351;9.3515893;12928;Api-Ip;;Ansa di Anghileri Renato e Scola Ivana S.N.C.;;;;;;Blue
5851845308;node;44.8714969;9.6463785;12903;Europam;;Europam S.R.L.;;;;;;Blue
5851845313;node;45.2329423;8.6875221;12884;Retitalia;;Rubin Rosa Angela;;;;;;Blue
5851845316;node;45.3669467;11.2860864;"12826;56261";Shell;;Pad Multienergy S.P.A;;;;;;Blue
5851845317;node;44.4275320;11.4337395;12822;IP;IP;Faccialive di Peghetti Luisa;;;;;;Blue
5851845318;node;40.9034132;14.2492166;12799;Esso;Esso;Ci.Ma. S.A.S. di Cifinelli Giovanniluca;;;;;;Blue
5851845320;node;37.3577654;13.5568653;12786;Api-Ip;;Di Benedetto Carburanti S.R.L.;;;;;;Blue
5851845323;node;41.2752998;14.1895165;12743;IP;IP;Self Car Wash S.A.S. di Natale Luigi e F.lli In Sigla Self Car Wash S.A.S.;;;;;;Blue
5851845329;node;44.8007515;11.9738786;12671;Api-Ip;;Rosatti Luca;;;;;;Blue
5851845332;node;45.2629355;10.0779974;12645;Esso;Esso;Degani Alessio;;;;;;Blue
5851845333;node;40.8031363;14.3535276;12639;Repsol;;Parking Time di Tarantino Marco;;;;;;Blue
5851845334;node;45.7480180;9.1232463;12628;Esso;;Stazione di Servizio di Camagni Fabrizio e C. S.N.C.;;;;;;Blue
5851845341;node;45.1146442;11.4956045;12549;Costantin;;Bertoncin Mario;;;;;;Blue
5851845343;node;44.8268994;11.0365149;12529;Esso;;Luppi Franca;;;;;;Blue
5851845345;node;44.0371913;10.1043441;12510;Api-Ip;;D.T. S.N.C. di Della Tommasina Orlando & C.;;;;;;Blue
5851845347;node;38.1989710;13.2467072;12491;;MOil;;;;;;;Blue
5851845359;node;39.5586021;9.0385066;12415;Api-Ip;;G.A.Pla S.R.L.;;;;;;Blue
5851845360;node;44.8237124;10.9979626;12403;Total Erg;;Vescovini Roger;;;;;;Blue
5851845361;node;37.1115006;13.9215955;12369;Esso;;Di Benedetto Carburanti S.R.L.;;;;;;Blue
5851845365;node;40.7108574;17.5782913;12312;Camer;;Camer Petroleum Europa S.R.L.;;;;;;Blue
5851845367;node;40.7177859;17.3310556;12303;Simeone Carburanti;Simeone Carburanti;Simeone Carburanti S.R.L.;;;;;;Blue
5851845370;node;44.8214448;10.9429327;12277;Q8;Q8;F.lli Martinelli S.N.C.;;;;;;Blue
5851845372;node;44.7306505;11.2825771;12235;Eni;Eni;Pepe Romolo;;;;;;Blue
5851845376;node;44.3985245;8.2797723;12222;Tamoil;;Galatea Riccardo;;;;;;Blue
5851845378;node;44.2565723;12.2702951;12199;Tamoil;;Casciano Carmine;;;;;;Blue
5851845383;node;45.5572939;9.8222467;12144;Api-Ip;;D.M. Carburanti di Maestri Danny;;;;;;Blue
5851845501;node;45.4040689;10.2533823;12034;Api-Ip;;Elcamales S.N.C. di Maestri Sergio & C.;;;;;;Blue
5851845503;node;37.3603001;13.9319906;12020;Giap;Giap;Servizi e Gestioni Zenit srl;;;;;;Blue
5851845505;node;40.8220076;16.9111542;12007;Dill'S;;Picicci Eustachio;;;;;;Blue
5851845506;node;45.6173528;9.5931631;11991;Agip Eni;;Arioli Aldo;;;;;;Blue
5851845507;node;45.4749599;9.9635348;11988;Total Erg;;Urbani Gianmario;;;;;;Blue
5851845508;node;44.0561347;8.1919035;11983;Total Erg;;Baldini Gianni - S.N.C.;;;;;;Blue
5851845509;node;45.2038601;11.7829120;11982;Costantin;Costantin;F.lli Chiapperin S.N.C. di Chiapperin Giovanni & Matteo;;;;;;Blue
5851845515;node;45.6728372;11.9485573;11895;Q8;Q8;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
5851845518;node;44.1093884;9.8323410;11838;Q8;Q8;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
5851845535;node;40.9327068;14.4941839;11730;Q8;Q8;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
5851845536;node;40.9284896;14.2118854;11727;Q8;;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
5851845543;node;44.8121972;11.6327195;11577;Q8;;Servizi & Gestioni Italia S.R.L.;;;;;;Blue
